EN,EN-Int,MY,MY->EN,MY->EN-Int,
Play the steel factory video,"(u'SmartHub.Videos.Open', {u'SmartHub.Videos.Names': u'steel factory'})",Mainkan video kilang keluli,Play video-steel mill,"(u'SmartHub.Videos.Open', {})",
Play the safe city video,"(u'SmartHub.Videos.Open', {u'SmartHub.Videos.Names': u'safe city'})",Mainkan video bandar selamat,Play video city secure,"(u'SmartHub.Videos.Open', {})",
Play the energy blockchain video,"(u'SmartHub.Videos.Open', {u'SmartHub.Videos.Names': u'energy blockchain'})",Mainkan video tenga blokchain,Play video tenga blokchain,"(u'SmartHub.Videos.Open', {})",
Play the introduction walkthrough video,"(u'SmartHub.Videos.Open', {u'SmartHub.Slides.Names': u'introduction', u'SmartHub.Videos.Names': u'introduction walkthrough'})",Mainkan video panduan pengenalan,Play video on introduction,"(u'SmartHub.Videos.Open', {u'SmartHub.Slides.Names': u'introduction'})",
Play the British gas video,"(u'SmartHub.Videos.Open', {u'SmartHub.Videos.Names': u'british gas'})",Main kan video britsh gas,Play the right video britsh gas,"(u'SmartHub.Videos.Open', {})",
Play the digital fieldworker video,"(u'SmartHub.Videos.Open', {u'SmartHub.Videos.Names': u'digital fieldworker'})",Mainkan video digital perkerja lapangan,Play digital video field worker field,"(u'SmartHub.Videos.Open', {})",
Open the introduction slides,"(u'SmartHub.Slides.Open', {u'SmartHub.Slides.Names': u'introduction'})",Buka slaid pengnalan,Open the slide pengnalan,"(u'SmartHub.Slides.GoTo', {})",
Open the adaptive workforce slides,"(u'SmartHub.Slides.Open', {u'SmartHub.Slides.Names': u'adaptive workforce'})",Buka slaid penyesuaian tenagavkerja,Open the slide adjustment tenagavkerja,"(u'SmartHub.Slides.GoTo', {})",
Open the safety briefing slides,"(u'SmartHub.Slides.Open', {})",Buka Slaid Taklimat Keselamatan,Open The Slide Safety Briefing,"(u'SmartHub.Slides.GoTo', {})",
Activate presentation mode,"(u'SmartHub.Slides.Close', {})",Aktifkan mod persembahan,Activate the show mode,"(u'SmartHub.Slides.GoTo', {})",
Deactivate presentation mode,"(u'SmartHub.Slides.Close', {})",Hentikan mod persembahan,Stop mode of presentation,"(u'SmartHub.Slides.Close', {})",
