1,"Commissioner of Prisons, Mr Desmond Chin,"
2,"NYAA Council Chairman, Mr Teo Ser Luck,"
3,"Award recipients and family members,"
4,Good morning.
5,"I am very happy and honoured to join you today, and I want to congratulate the National Youth Achievement Award or NYAA participants on completing the programme."
6,"In 2000, the NYAA programme was first introduced to youths within the Prison School."
7,The programme was subsequently extended to the youths in the Women’s Prison.
8,"The programme’s objectives remain true, even till today."
9,"It aims to encourage self-reliance, perseverance and a sense of responsibility to oneself, to society and to the nation."
10,"In 2018, I was heartened to learn that 128 of you participated in NYAA, and were involved in a range of activities that include community service with Be Kind SG and sports such as touch-rugby clinics conducted by volunteers from Born2Be."
11,"Specifically, for the community service project, the colouring sheets which you have drawn are good engagement tools for the Senior Activities Centres to meaningfully engage the elderlies in their centres."
12,"This year’s theme is “Pilot your Life, Soar to Greater Heights”."
13,"It’s a very appropriate theme, and I find it very touching."
14,"For the first time, the Singapore Prison Service also introduced the Train-the-Trainer’s model whereby the Prison Officers were trained by Singapore Adventurers’ Club to impart outdoor survival skill-sets to the NYAA participants."
15,This provided an additional opportunity for the Prison Officers to build rapport with yourselves.
16,"Indeed, the various NYAA activities have helped you to realise this year’s theme, which is “Pilot your Life, Soar to Greater Heights”."
17,"You were exposed to new experiences, whether it is participating in community service for the first time, trying a new sport, or getting involved in an outdoor activity."
18,"Through these experiences, you have become more self-aware; what you are good at, what are your shortcomings and how to improve those areas."
19,Such awareness will allow you to have better control over your life.
20,"This year, I am proud to announce that we have two NYAA gold awardees - Michael and Ahmad (not their real names)."
21,Let me share their stories about how they took charge of their lives.
22,Michael was misguided by bad company and was involved in gang activities.
23,"His family visited him regularly, prompting him to reflect on his life – what does he wish to achieve in life, what are his dreams and aspirations."
24,Michael decided to change for good so that he would not disappoint his family.
25,He renounced his ties from his gang and took up the Educational Pathway offered by the Prison School.
26,Michael started off with General Education and progressed to complete his GCE ‘N’ and ‘O’ Levels in the Prison School.
27,"He did well in his ‘O’ levels, scoring distinction for his Principles of Account."
28,"Currently, he is pursuing his GCE ‘A’ levels."
29,Michael is also determined to pick up new skills during his incarceration and has signed up for NYAA.
30,He will receive his Gold Award today.
31,"Next, is Ahmad."
32,"Ahmad was involved in rioting and breach of probation in 2017, which landed him in Reformative Training Centre."
33,It was only when his mother became ill and subsequently suffered a stroke that he realised the need to turn his life around for the sake of his family.
34,"Despite having a PSLE certificate, he was undeterred to pursue knowledge and upgrade himself."
35,He proceeded to further his studies with Prison School and obtained his NT certificate in 2018.
36,"Like Michael, he signed up for NYAA and will receive his Gold Award today."
37,"As part of the Gold Award requirement, both Michael and Ahmad embarked on a project to produce a foot reflexology mat that were presented to CARElderly for their residents’ use at their centre."
38,"Michael and Ahmad, I am sincerely proud of you."
39,You have shown us what it means to take charge of your own destiny and work towards realising your dreams.
40,"It takes hard work and sheer determination, and both of you have made significant progress."
41,"I hope you will continue to stay in the pilot’s seat, taking charge of your life even after the programme."
42,I want to also rally and encourage all of us here to take charge of our lives and our pilot seats.
43,This will give us a renewed view of where we are today and what is to come.
44,No one is perfect; we all have our own strengths and weaknesses.
45,"It is important for us to value our strengths, and at the same time, close the gaps in our weaknesses."
46,"For my friends here, I would like to urge you to be patient."
47,It takes time to achieve what we want.
48,We cannot expect what we want to be achieved within a short period of time.
49,"At times, when the opportunity arises, we grab it."
50,"But many times, we need to be patient."
51,We also need to stay humble in life.
52,"Life is a long journey, and you are still very young."
53,"It is important for you to have that horizon of looking far in achieving what you want, but to also remain patient and humble in doing so."
54,Now I also want to thank the family members who have stood alongside and supported the NYAA participants.
55,Your support and constant encouragement are important to their rehabilitation journey.
56,I sincerely want to thank you; I understand it is not easy for you.
57,I also want to acknowledge the contributions of our community partners.
